Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM,Weighted Average
Tool,IntelPython/sdc,hpat/hiframes_join.py,CDT,Data Acq,1.5595408289251596,2.6539177030325214,0.0330547102273628,0.3062984278162164,0.8056022078899863,0.5991126324996354,0.5370038864752313,0.927790056695159
Tool,IntelPython/sdc,hpat/hiframes/boxing.py,MLKnow,Data Pre,0.1785219523391651,-0.3480883569925055,0.1786448144638377,-0.1493341947272875,-0.0502882246227167,0.1069918013754701,0.9175578217726392,0.1191436590869432
Tool,IntelPython/sdc,hpat/compiler.py,MLKnow,Data Pre,1.4045972476496578,1.1002479000371126,0.3852253677723493,-0.5581017475234596,-0.4845267528828382,-0.5317377337264014,0.3847823123562681,0.2429266562403841
Tool,IntelPython/sdc,hpat/hiframes/pd_dataframe_ext.py,Proto,Data Acq,1.5258574416913548,1.2213814778977716,0.4029322723416503,0.648673798470335,1.378293600233045,1.147381477913135,1.145890182951084,1.0672014644997678
Tool,IntelPython/sdc,sdc/datatypes/hpat_pandas_series_rolling_functions.py,MDepend,Data Pre,-0.1178918553183166,0.2154461139244731,0.7846144375021386,0.3739924174512513,0.1951509435243084,0.0991017209361191,0.00422837705886,0.2220917364398334
Tool,kornia/kornia,kornia/filters/blur.py,UMC,Data Pre,-0.2054686621262089,0.3523797236800007,0.39702997081855,-0.6726608069058263,-0.7173792970223236,-0.7588986542825971,-0.6807687064764744,-0.32653806175926847
Tool,Rostlab/nalaf,nala/features/tmvar.py,Data Conf,Data Pre,-0.6029326314851049,-0.3480883569925055,-0.6280030603598744,-0.5398764426217194,-0.1635678406905745,-0.4915533705585446,0.1564499511778233,-0.3739388216472143
Tool,DigitalSlideArchive/HistomicsTK,server/docker_resource.py,Data Conf,Other,2.7047759948745207,-0.3112216159044789,-0.424373657812913,-0.4018848483656868,-0.2265009607282732,-0.4352218660264346,2.515884350021753,0.4887796280083554
Application,pierluigiferrari/ssd_keras,ssd_box_encode_decode_utils.py,Proto,Data Pre,0.7646128902073677,-0.3006882613078999,-0.672270321783127,-0.3667360460551879,-0.3838337608225202,-0.0405343538161141,0.2325607382373049,-0.1095555879057395
Application,shenweichen/DeepCTR,deepctr/models/nfm.py,UMC,Modeling,-0.6298793412721486,-0.3533550342907951,-0.3997807347999949,-0.7377511815548983,-0.7677257930524826,-0.7377972763634029,-0.756879493535956,-0.6261669792670971
Application,lmcinnes/umap,umap/umap_.py,MDepend,Training,-0.6635627285059534,0.1417126317484199,-0.5266802175466521,1.5768625409661017,0.9503483839766934,1.1749050143294757,-0.6046579194169928,0.29270395793587034
